Generation,Sequence,Fitness,Score,World,Stage,X Position
1,1,2970.0,0,1,1,594
1,2,2970.0,0,1,1,594
1,3,2970.0,0,1,1,594
1,4,2980.0,100,1,1,594
1,5,2970.0,0,1,1,594
1,6,2980.0,100,1,1,594
1,7,2980.0,100,1,1,594
1,8,1465.0,0,1,1,293
1,9,1580.0,0,1,1,316
1,10,2980.0,100,1,1,594
1,11,2970.0,0,1,1,594
1,12,3620.0,100,1,1,722
1,13,2980.0,100,1,1,594
1,14,1515.0,0,1,1,303
1,15,2970.0,0,1,1,594
1,16,2980.0,100,1,1,594
1,17,2980.0,100,1,1,594
1,18,1505.0,0,1,1,301
1,19,2965.0,0,1,1,593
1,20,1475.0,0,1,1,295
1,21,3000.0,200,1,1,594
1,22,3000.0,200,1,1,594
1,23,2995.0,200,1,1,593
1,24,2975.0,100,1,1,593
1,25,2970.0,0,1,1,594
1,26,2970.0,0,1,1,594
1,27,1485.0,0,1,1,297
1,28,2970.0,0,1,1,594
1,29,2980.0,100,1,1,594
1,30,2980.0,100,1,1,594
1,31,1485.0,0,1,1,297
1,32,2970.0,0,1,1,594
1,33,2980.0,100,1,1,594
1,34,2970.0,0,1,1,594
1,35,1535.0,0,1,1,307
1,36,1520.0,0,1,1,304
1,37,2965.0,0,1,1,593
1,38,2970.0,0,1,1,594
1,39,2970.0,0,1,1,594
1,40,1540.0,200,1,1,302
2,1,2980.0,100,1,1,594
2,2,2970.0,0,1,1,594
2,3,2970.0,0,1,1,594
2,4,3000.0,200,1,1,594
2,5,1540.0,0,1,1,308
2,6,1565.0,0,1,1,313
2,7,1465.0,0,1,1,293
2,8,3000.0,200,1,1,594
2,9,2970.0,0,1,1,594
2,10,2970.0,0,1,1,594
2,11,3010.0,300,1,1,594
2,12,2975.0,100,1,1,593
2,13,2980.0,100,1,1,594
2,14,3620.0,100,1,1,722
2,15,2970.0,0,1,1,594
2,16,3660.0,400,1,1,722
2,17,1480.0,0,1,1,296
2,18,2965.0,0,1,1,593
2,19,2970.0,0,1,1,594
2,20,3000.0,200,1,1,594
2,21,2980.0,100,1,1,594
2,22,2980.0,100,1,1,594
2,23,3005.0,300,1,1,593
2,24,3630.0,200,1,1,722
2,25,2970.0,0,1,1,594
2,26,2980.0,100,1,1,594
2,27,2980.0,100,1,1,594
2,28,2980.0,100,1,1,594
