Generation,Sequence,Fitness,Score,World,Stage,X Position
1,1,2970.0,0,1,1,594
1,2,2981.0,100,1,1,594
1,3,200.0,0,1,1,40
1,4,2970.0,0,1,1,594
1,5,2981.0,100,1,1,594
1,6,2981.0,100,1,1,594
1,7,2970.0,0,1,1,594
1,8,2981.0,100,1,1,594
1,9,2975.0,0,1,1,595
1,10,2970.0,0,1,1,594
1,11,3002.0,200,1,1,594
1,12,2981.0,100,1,1,594
1,13,2970.0,0,1,1,594
1,14,2970.0,0,1,1,594
1,15,2970.0,0,1,1,594
1,16,200.0,0,1,1,40
1,17,200.0,0,1,1,40
1,18,2970.0,0,1,1,594
1,19,200.0,0,1,1,40
1,20,2975.0,0,1,1,595
1,21,2970.0,0,1,1,594
1,22,2965.0,0,1,1,593
1,23,3091.0,1100,1,1,594
1,24,200.0,0,1,1,40
1,25,3653.0,300,1,1,722
1,26,2981.0,100,1,1,594
1,27,2970.0,0,1,1,594
1,28,2976.0,100,1,1,593
1,29,2970.0,0,1,1,594
1,30,200.0,0,1,1,40
1,31,2981.0,100,1,1,594
1,32,2970.0,0,1,1,594
1,33,2981.0,100,1,1,594
1,34,3621.0,100,1,1,722
1,35,200.0,0,1,1,40
1,36,2981.0,100,1,1,594
1,37,2976.0,100,1,1,593
1,38,2976.0,100,1,1,593
1,39,2981.0,100,1,1,594
1,40,2981.0,100,1,1,594
2,1,2981.0,100,1,1,594
2,2,2970.0,0,1,1,594
2,3,2970.0,0,1,1,594
2,4,2970.0,0,1,1,594
2,5,200.0,0,1,1,40
2,6,2981.0,100,1,1,594
2,7,2970.0,0,1,1,594
2,8,3616.0,100,1,1,721
2,9,2970.0,0,1,1,594
2,10,200.0,0,1,1,40
2,11,2970.0,0,1,1,594
2,12,200.0,0,1,1,40
2,13,3002.0,200,1,1,594
2,14,3002.0,200,1,1,594
2,15,3002.0,200,1,1,594
2,16,2970.0,0,1,1,594
2,17,2970.0,0,1,1,594
2,18,3632.0,200,1,1,722
2,19,2981.0,100,1,1,594
2,20,2970.0,0,1,1,594
2,21,2965.0,0,1,1,593
2,22,2970.0,0,1,1,594
2,23,200.0,0,1,1,40
2,24,200.0,0,1,1,40
2,25,2975.0,0,1,1,595
2,26,2970.0,0,1,1,594
2,27,211.0,100,1,1,40
2,28,2970.0,0,1,1,594
2,29,3002.0,200,1,1,594
2,30,232.0,200,1,1,40
2,31,2981.0,100,1,1,594
2,32,3002.0,200,1,1,594
2,33,200.0,0,1,1,40
2,34,2970.0,0,1,1,594
2,35,200.0,0,1,1,40
2,36,3637.0,200,1,1,723
2,37,232.0,200,1,1,40
2,38,2981.0,100,1,1,594
2,39,2970.0,0,1,1,594
2,40,2970.0,0,1,1,594
3,1,2970.0,0,1,1,594
3,2,3626.0,100,1,1,723
3,3,200.0,0,1,1,40
3,4,2981.0,100,1,1,594
3,5,2970.0,0,1,1,594
3,6,2970.0,0,1,1,594
3,7,3632.0,200,1,1,722
3,8,2970.0,0,1,1,594
3,9,2981.0,100,1,1,594
3,10,2981.0,100,1,1,594
3,11,3632.0,200,1,1,722
3,12,2997.0,200,1,1,593
3,13,2981.0,100,1,1,594
3,14,2981.0,100,1,1,594
3,15,3029.0,400,1,1,593
3,16,2970.0,0,1,1,594
3,17,2981.0,100,1,1,594
3,18,3002.0,200,1,1,594
3,19,3013.0,300,1,1,594
3,20,2970.0,0,1,1,594
3,21,2981.0,100,1,1,594
3,22,3034.0,400,1,1,594
3,23,2970.0,0,1,1,594
3,24,2975.0,0,1,1,595
3,25,3632.0,200,1,1,722
3,26,3034.0,400,1,1,594
3,27,2976.0,100,1,1,593
3,28,2981.0,100,1,1,594
3,29,3637.0,200,1,1,723
3,30,2976.0,100,1,1,593
3,31,2970.0,0,1,1,594
3,32,2970.0,0,1,1,594
3,33,3605.0,0,1,1,721
3,34,3002.0,200,1,1,594
3,35,2976.0,100,1,1,593
3,36,2981.0,100,1,1,594
3,37,2981.0,100,1,1,594
3,38,2981.0,100,1,1,594
3,39,2970.0,0,1,1,594
3,40,2981.0,100,1,1,594
4,1,2970.0,0,1,1,594
4,2,2981.0,100,1,1,594
4,3,2981.0,100,1,1,594
4,4,2981.0,100,1,1,594
4,5,3621.0,100,1,1,722
4,6,2981.0,100,1,1,594
4,7,2981.0,100,1,1,594
4,8,3626.0,100,1,1,723
4,9,3632.0,200,1,1,722
4,10,2981.0,100,1,1,594
4,11,2981.0,100,1,1,594
4,12,2997.0,200,1,1,593
4,13,3621.0,100,1,1,722
4,14,2981.0,100,1,1,594
4,15,211.0,100,1,1,40
4,16,2970.0,0,1,1,594
4,17,211.0,100,1,1,40
4,18,2981.0,100,1,1,594
4,19,3632.0,200,1,1,722
4,20,3632.0,200,1,1,722
4,21,2970.0,0,1,1,594
4,22,2981.0,100,1,1,594
4,23,200.0,0,1,1,40
4,24,200.0,0,1,1,40
4,25,2981.0,100,1,1,594
4,26,200.0,0,1,1,40
4,27,2965.0,0,1,1,593
4,28,243.0,300,1,1,40
4,29,2981.0,100,1,1,594
4,30,2986.0,100,1,1,595
4,31,3632.0,200,1,1,722
4,32,200.0,0,1,1,40
4,33,3013.0,300,1,1,594
4,34,2981.0,100,1,1,594
4,35,3621.0,100,1,1,722
4,36,2981.0,100,1,1,594
4,37,2997.0,200,1,1,593
4,38,2981.0,100,1,1,594
4,39,2981.0,100,1,1,594
4,40,200.0,0,1,1,40
5,1,2970.0,0,1,1,594
5,2,3002.0,200,1,1,594
5,3,2976.0,100,1,1,593
5,4,2970.0,0,1,1,594
5,5,3002.0,200,1,1,594
5,6,200.0,0,1,1,40
5,7,2981.0,100,1,1,594
5,8,2965.0,0,1,1,593
5,9,2981.0,100,1,1,594
5,10,2970.0,0,1,1,594
5,11,3632.0,200,1,1,722
5,12,2981.0,100,1,1,594
5,13,2970.0,0,1,1,594
5,14,2981.0,100,1,1,594
5,15,3621.0,100,1,1,722
5,16,2981.0,100,1,1,594
5,17,200.0,0,1,1,40
5,18,2970.0,0,1,1,594
5,19,3658.0,300,1,1,723
5,20,2981.0,100,1,1,594
5,21,2970.0,0,1,1,594
5,22,3632.0,200,1,1,722
5,23,3632.0,200,1,1,722
5,24,2981.0,100,1,1,594
5,25,3637.0,200,1,1,723
5,26,2970.0,0,1,1,594
5,27,2981.0,100,1,1,594
5,28,3616.0,100,1,1,721
5,29,2970.0,0,1,1,594
5,30,3637.0,200,1,1,723
5,31,211.0,100,1,1,40
5,32,2970.0,0,1,1,594
5,33,2970.0,0,1,1,594
5,34,2970.0,0,1,1,594
5,35,2970.0,0,1,1,594
5,36,232.0,200,1,1,40
5,37,2981.0,100,1,1,594
5,38,200.0,0,1,1,40
5,39,3632.0,200,1,1,722
5,40,2970.0,0,1,1,594
6,1,3621.0,100,1,1,722
6,2,2981.0,100,1,1,594
6,3,2970.0,0,1,1,594
6,4,3632.0,200,1,1,722
6,5,2970.0,0,1,1,594
6,6,3658.0,300,1,1,723
6,7,2970.0,0,1,1,594
6,8,2970.0,0,1,1,594
