Episode,Game,Coins,Score,World,Level,Time
1,1,0,0,1,1,389
1,2,0,0,1,1,395
1,3,0,0,1,1,395
1,4,0,0,1,1,395
1,5,0,0,1,1,395
1,6,0,0,1,1,395
1,7,0,0,1,1,395
1,8,0,0,1,1,395
1,9,0,0,1,1,395
1,10,0,0,1,1,395
1,11,0,0,1,1,394
1,12,0,0,1,1,395
1,13,0,0,1,1,395
1,14,0,0,1,1,395
1,15,0,0,1,1,395
1,16,0,0,1,1,394
1,17,0,0,1,1,395
1,18,0,0,1,1,395
1,19,0,0,1,1,395
1,20,0,0,1,1,395
2,1,0,100,1,1,394
2,2,0,0,1,1,394
2,3,0,0,1,1,395
2,4,0,0,1,1,395
2,5,0,0,1,1,395
2,6,0,0,1,1,395
2,7,0,0,1,1,395
2,8,0,0,1,1,395
2,9,0,0,1,1,394
2,10,0,0,1,1,395
2,11,0,0,1,1,395
2,12,0,0,1,1,395
2,13,0,0,1,1,394
2,14,0,0,1,1,395
2,15,0,0,1,1,395
2,16,0,0,1,1,394
2,17,0,0,1,1,395
2,18,0,0,1,1,395
2,19,0,0,1,1,394
2,20,0,0,1,1,394
3,1,0,100,1,1,395
3,2,0,0,1,1,395
3,3,0,0,1,1,395
3,4,0,0,1,1,395
3,5,0,0,1,1,395
3,6,0,0,1,1,395
3,7,0,0,1,1,395
3,8,0,0,1,1,395
3,9,0,0,1,1,395
3,10,0,0,1,1,395
3,11,0,0,1,1,395
3,12,0,0,1,1,395
3,13,0,0,1,1,395
3,14,0,0,1,1,395
3,15,0,0,1,1,395
3,16,0,0,1,1,395
3,17,0,0,1,1,395
3,18,0,0,1,1,395
3,19,0,0,1,1,395
3,20,0,0,1,1,395
4,1,0,0,1,1,353
4,2,0,0,1,1,395
4,3,0,0,1,1,395
4,4,0,0,1,1,395
4,5,0,0,1,1,395
4,6,0,0,1,1,395
4,7,0,0,1,1,334
4,8,0,0,1,1,395
4,9,0,0,1,1,395
4,10,0,0,1,1,395
4,11,0,0,1,1,395
4,12,0,0,1,1,395
4,13,0,0,1,1,395
4,14,0,0,1,1,395
4,15,0,0,1,1,395
4,16,0,0,1,1,395
4,17,0,0,1,1,395
4,18,0,0,1,1,395
4,19,0,0,1,1,395
4,20,0,0,1,1,395
5,1,0,0,1,1,394
5,2,0,0,1,1,395
5,3,0,0,1,1,395
5,4,0,0,1,1,395
5,5,0,0,1,1,395
5,6,0,0,1,1,395
5,7,0,0,1,1,395
5,8,0,0,1,1,395
5,9,0,0,1,1,395
5,10,0,0,1,1,395
5,11,0,0,1,1,395
5,12,0,0,1,1,395
5,13,0,0,1,1,395
5,14,0,0,1,1,395
5,15,0,0,1,1,395
5,16,0,0,1,1,395
5,17,0,0,1,1,395
5,18,0,0,1,1,395
5,19,0,0,1,1,395
5,20,0,0,1,1,395
6,1,0,300,1,1,123
6,2,0,0,1,1,395
6,3,0,0,1,1,395
6,4,0,0,1,1,395
6,5,0,0,1,1,395
6,6,0,0,1,1,395
6,7,0,0,1,1,395
6,8,0,0,1,1,395
6,9,0,0,1,1,395
6,10,0,0,1,1,395
6,11,0,0,1,1,395
6,12,0,0,1,1,395
6,13,0,0,1,1,395
6,14,0,0,1,1,395
6,15,0,0,1,1,395
6,16,0,0,1,1,395
6,17,0,0,1,1,395
