Episode,Game,Coins,Score,World,Level,Time
1,1,0,100,1,1,0
1,2,0,400,1,1,0
1,3,0,300,1,1,0
1,4,0,100,1,1,392
1,5,0,200,1,1,0
1,6,0,100,1,1,0
1,7,0,0,1,1,393
1,8,1,300,1,1,0
1,9,0,200,1,1,247
1,10,0,0,1,1,0
1,11,0,200,1,1,0
1,12,1,400,1,1,0
1,13,0,100,1,1,0
1,14,0,200,1,1,0
1,15,0,200,1,1,0
1,16,1,300,1,1,0
1,17,0,100,1,1,0
1,18,0,300,1,1,0
1,19,1,600,1,1,0
1,20,0,200,1,1,0
2,1,0,0,1,1,0
2,2,0,200,1,1,392
2,3,0,200,1,1,0
2,4,0,100,1,1,0
2,5,0,0,1,1,0
2,6,0,0,1,1,0
2,7,0,300,1,1,0
2,8,0,300,1,1,393
2,9,0,0,1,1,393
2,10,0,0,1,1,0
2,11,0,100,1,1,392
2,12,0,200,1,1,0
2,13,1,400,1,1,0
2,14,0,100,1,1,0
2,15,1,300,1,1,392
2,16,1,300,1,1,392
2,17,0,0,1,1,391
2,18,0,300,1,1,0
2,19,1,400,1,1,390
2,20,1,300,1,1,393
3,1,0,100,1,1,0
3,2,0,100,1,1,0
3,3,1,600,1,1,0
3,4,0,200,1,1,0
3,5,0,0,1,1,0
3,6,1,200,1,1,392
3,7,1,400,1,1,0
3,8,0,100,1,1,0
3,9,0,200,1,1,0
3,10,0,100,1,1,0
3,11,0,200,1,1,393
3,12,0,0,1,1,392
3,13,0,0,1,1,0
3,14,0,100,1,1,0
3,15,1,200,1,1,0
3,16,1,500,1,1,69
3,17,0,300,1,1,0
3,18,0,100,1,1,0
3,19,0,0,1,1,0
3,20,1,200,1,1,0
4,1,0,200,1,1,391
4,2,0,100,1,1,394
4,3,0,0,1,1,392
4,4,0,100,1,1,0
4,5,0,100,1,1,0
4,6,0,200,1,1,0
4,7,0,200,1,1,391
4,8,0,0,1,1,0
4,9,0,100,1,1,113
4,10,0,400,1,1,0
4,11,1,500,1,1,0
4,12,0,100,1,1,393
4,13,1,300,1,1,393
4,14,0,300,1,1,0
4,15,0,400,1,1,0
4,16,1,200,1,1,0
4,17,0,100,1,1,393
4,18,0,200,1,1,0
4,19,1,600,1,1,0
4,20,0,200,1,1,0
5,1,0,300,1,1,0
5,2,0,200,1,1,392
5,3,0,100,1,1,392
5,4,0,100,1,1,0
5,5,0,200,1,1,0
5,6,0,100,1,1,0
5,7,0,200,1,1,0
5,8,0,100,1,1,0
5,9,0,0,1,1,359
